Cancer,Articles,Country,ASR
Gallbladder cancer,0.0,Malawi,0.01904489834785507
Hodgkin lymphoma,8.527131782945736,Malawi,0.2904346998047898
Kaposi sarcoma,10.852713178294573,Malawi,5.713469504356521
Kidney cancer,12.4031007751938,Malawi,0.4332714374137028
Laryngeal cancer,0.0,Malawi,0.3285244965004999
Leukemia,6.2015503875969,Malawi,0.40946531447888396
Liver cancer,5.426356589147287,Malawi,1.856877588915869
Lung cancer,5.426356589147287,Malawi,0.7617959339142027
Mesothelioma,0.0,Malawi,0.0
Mouth cancer,0.0,Malawi,0.7141836880445651
Multiple myeloma,0.0,Malawi,0.10474694091320287
Non-Hodgkin lymphoma,7.751937984496124,Malawi,3.0947959815264485
Ovarian cancer,0.0,Malawi,1.571204113698043
Pancreatic cancer,0.0,Malawi,0.23806122934818835
Penile cancer,0.0,Malawi,1.1903061467409417
Prostate cancer,0.0,Malawi,13.331428843498548
Rectal cancer,0.0,Malawi,0.999857163262391
Salivary gland cancer,0.0,Malawi,0.4666000095224492
Skin cancer,2.3255813953488373,Malawi,2.523449031090797
Stomach cancer,0.0,Malawi,1.5235918678284055
Testicular cancer,0.0,Malawi,0.23806122934818835
Throat cancer,0.0,Malawi,0.2190163310003333
Thyroid cancer,1.550387596899225,Malawi,0.5713469504356521
Uterine cancer,0.0,Malawi,0.47136123410941294
Vaginal cancer,0.0,Malawi,0.7141836880445651
Vulvar cancer,0.7751937984496124,Malawi,0.5237347045660145
Anal cancer,2.7777777777777777,Barbados,0.4332889727956423
Bladder cancer,0.0,Barbados,0.4951873974807341
Brain cancer,2.7777777777777777,Barbados,0.3404413357680047
Breast cancer,8.333333333333334,Barbados,17.857695521648974
Cervical cancer,8.333333333333334,Barbados,4.270991303271331
Colon cancer,13.88888888888889,Barbados,4.889975550122249
Colorectal cancer,11.11111111111111,Barbados,7.6444554486088325
Esophageal cancer,0.0,Barbados,0.2847327535514221
Gallbladder cancer,0.0,Barbados,0.11451208566741976
Hodgkin lymphoma,0.0,Barbados,0.0
Kaposi sarcoma,2.7777777777777777,Barbados,0.6189842468509176
Kidney cancer,2.7777777777777777,Barbados,1.5784098294698397
Laryngeal cancer,0.0,Barbados,0.40233976045309644
Leukemia,11.11111111111111,Barbados,2.1664448639782115
Liver cancer,0.0,Barbados,0.7427810962211011
Lung cancer,0.0,Barbados,2.9092259601993127
Mesothelioma,2.7777777777777777,Barbados,0.0
Mouth cancer,0.0,Barbados,0.4951873974807341
Multiple myeloma,2.7777777777777777,Barbados,1.8879019528952987
Non-Hodgkin lymphoma,0.0,Barbados,2.3521401380334868
Ovarian cancer,0.0,Barbados,2.259292501005849
Pancreatic cancer,0.0,Barbados,1.8879019528952987
Penile cancer,0.0,Barbados,0.12689177060443813
Prostate cancer,13.88888888888889,Barbados,31.10395840425861
Rectal cancer,8.333333333333334,Barbados,2.321190925690941
Salivary gland cancer,0.0,Barbados,0.06189842468509176
Skin cancer,2.7777777777777777,Barbados,0.9594255826189223
Stomach cancer,0.0,Barbados,1.547460617127294
Testicular cancer,0.0,Barbados,0.0
Throat cancer,0.0,Barbados,1.0244189285382685
Thyroid cancer,0.0,Barbados,1.0522732196465598
Uterine cancer,2.7777777777777777,Barbados,7.706353873293924
Vaginal cancer,2.7777777777777777,Barbados,0.0
Vulvar cancer,0.0,Barbados,0.4642381851381882
Anal cancer,0.0,Burkina Faso,0.5250328145509094
Bladder cancer,1.1111111111111112,Burkina Faso,6.062878929933121
Brain cancer,2.2222222222222223,Burkina Faso,1.5000937558597414
Breast cancer,21.11111111111111,Burkina Faso,13.37583598974936
Cervical cancer,20.0,Burkina Faso,9.938121132570787
Colon cancer,3.3333333333333335,Burkina Faso,1.187574223388962
Colorectal cancer,2.2222222222222223,Burkina Faso,2.1251328208013005
Esophageal cancer,0.0,Burkina Faso,2.0001250078129886
